,Date,User,Tweet
42,2022-11-15 09:28:26+00:00,FeiDuizm,"@beefleaflovers intersteller, i haven't read but they are in my list.. 
This Omega is Immune to All Abilities
In the Future, My Whole Body is a Treasure
The Way of the Empress
I Was Raised After Being a Mermaid
Live Broadcasting Raising Dragons in the Interstellar"
43,2022-11-15 09:19:25+00:00,InterstellerBOT,"「これ解けたんですか」
「ほぼ解けた」
「俺はすべてを賭けるのに、ほぼ解けた？」
「頼む私を信じてくれ。新しい星を見つけて君が帰還するまでに重力の問題は必ず解決する。約束するよ」"
44,2022-11-15 08:19:31+00:00,InterstellerBOT,"「腕時計だ。データを秒針の動きで伝えるんだ。TARS。データをモールス信号に変換してくれ」
「了解。データ変換中」"
45,2022-11-15 07:19:25+00:00,InterstellerBOT,"「任務を果たすつもりだった。だが到着して、ここには何もないとすぐに分かった。誘惑と何年も闘った。でも負けた。ボタンを押して信号を送れば誰かが助けに来てくれる」
「嘘吐きの卑怯者」"
46,2022-11-15 06:19:27+00:00,InterstellerBOT,"「ワームホールの向こうから送られてくるデータは、年1回のバイナリー信号でその星の可能性を知らせる単純なものだ。1つの惑星系からあった」
「そいつはかなりのギャンブルだな」
「1つの惑星系に3つの可能性よ。ギャンブルでもないわ」
「…なるほど」"
47,2022-11-15 05:19:29+00:00,InterstellerBOT,"「向こう側で待ってるぞクーパー」
「またな相棒」"
48,2022-11-15 04:19:27+00:00,InterstellerBOT,「しかし本当にツイています。シャトルが発見されたとき、酸素は残り2分でした」
49,2022-11-15 03:19:26+00:00,InterstellerBOT,「何が命の泉だ！いったい何年無駄にした！」
50,2022-11-15 02:19:33+00:00,InterstellerBOT,"「こうしている間にも、地球には救う人間がいなくなるぞ」
「私だって1秒1秒気になって仕方ない」"
51,2022-11-15 01:19:24+00:00,InterstellerBOT,「これをお前に。ひとつはパパのだ。パパは冬眠カプセルに入ったり、あと、宇宙船でワープをしたり、ブラックホールに行ったり。宇宙でも時間は過ぎていく。でも時間はゆっくり流れる。だから戻ったら時間を比べてみよう」
52,2022-11-15 00:26:29+00:00,kitsuneitsuki,@BiKelpie @1andonly_ace i watched intersteller when on molly the year it came out and dont remember it - i  should try it again!
53,2022-11-15 00:19:25+00:00,InterstellerBOT,"「じゃあライオンは？ガゼルを咬み殺すから悪？」
「悪は人間が生むのか」
「ええ」"
54,2022-11-14 23:19:32+00:00,InterstellerBOT,「何かを私は恐れている。彼らが戻らぬことなのか、研究が失敗に終わることなのか」
55,2022-11-14 20:07:04+00:00,Interstellerjay,@ZhetersArt I accept the consequence of my actions
56,2022-11-14 19:35:42+00:00,Interstellerjay,"@ZhetersArt I just want to pat the snoot,,"
